,Kommune,Resumé
63,Thisted,"- Arbejdstagerrettigheder, herunder overtrædelser af ILO-konventioner.
- Brud på grundlæggende rettigheder for arbejdstagere, i strid med FN Global Compact principper.
- Involvering i kontroversielle våben.
- Investment i flyselskaber.
- Krænkelse af menneskerettigheder generelt.
- Manglende indsats for klimaspørgsmål.
- Normovertrædelser relateret til menneskerettigheder.
- Negative konsekvenser for sociale forhold (Principal Adverse Impacts - PAI).
- Involvering i tobaksprodukter som detailhandel.
- Levering af tjenesteydelser og forsyninger til bosættelser.
- Forsyning af sikkerhedstjenester til virksomheder i bosættelser.
- Utilstrækkelig forvaltning af naturressourcer (vand og land) i erhvervssammenhæng.
- Tilbud af usunde fødevarer."
64,Norddjurs,"- Alkohol
- Arbejdstagerrettigheder
- Arbejdstagerrettigheder relateret til ILO-konventionen 87
- Biodiversitet og dens påvirkninger
- Brud på grundlæggende arbejdstagerrettigheder (FN Global Compact principper 3 og 4)
- Kontroversielle våben, herunder hvid fosfor
- Ejendomsopkøb
- Flyselskaber
- Fossile brændstoffer, herunder kul-udvidelse, fracking og overgangsproblematikker
- Spil
- God ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettighedsproblematikker
- ILO-brud
- Integreret olie og gas
- Internationale normer og konventioner
- Klimarelaterede forhold
- Konflikt med UN Global Compact princip nr. 10
- Krydstogtskibe
- Kul eksponering over 5%
- Arbejdspraksis
- Manglende klimaambitioner
- Miljøpåvirkninger
- Normbrud relateret til miljø og menneskerettigheder
- Olie og gas
- Negative konsekvenser for mennesker og miljø 
- Provision af tjenester og infrastruktur til opretholdelse af bosættelser
- Termisk kul og dets udvinding
- Usunde fødevarer
- Våben"
65,Hørsholm,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder
- Biodiversitet og dens påvirkninger
- Kontroversielle våben, herunder hvidt fosfor
- Ejendomsopkøb
- Flyselskaber
- Fossile brændstoffer og kuludvidelse
- Spilafhængighed
- God ledelsespraksis
- Skadelige miljøpraksisser
- Problemer med menneskerettigheder
- ILO-brud
- Normbrud i forhold til internationale konventioner
- Involvering i kritisk produktion og aktiviteter
- Konflikter relateret til Israel/Palæstina
- Manglende klimaambitioner
- Udnyttelse af naturressourcer, specielt vand og jord
- Usunde fødevarer
- Værktøjer til støtte for vedligeholdelse af bosættelser"
66,Halsnæs,Der er ikke noget relevant data.
67,Faxe,"- Arbejdstagerrettigheder
- ILO-konventionen 87
- EU sanktioner
- Fossil fuels
- Kul med eksponering over 5%
- Omsætning fra ukonventionel olie og gas, termisk kul eller arktisk boring over 5%
- Internationale sanktioner
- Forretningsetik
- Israel/Palestina
- Sikkerhedsrisici
- Ruslands invasion af Ukraine
- Norms
- SPU (Statens Pensionsfond)"
68,Tårnby,Der er ikke noget relevant data.
69,Hedensted,"- Arbejdstagerrettigheder 
- Biodiversitet 
- Brud på grundlæggende arbejdstagerrettigheder 
- Kontroversielle våben 
- EU-sanktioner 
- Ejendomsopkøb 
- Emerging Markets statsobligationer, der ikke opfylder ESG-kriterier 
- Flyselskab 
- Fossile brændstoffer og fossil ekspansion 
- Gambling 
- God ledelsespraksis 
- Skadelige miljøpraksisser 
- Menneskerettighedsproblemer 
- ILO-brud 
- Internationale normer og konventioner 
- Konflikt med UN Global Compact princip nr. 10 
- Kul-eksponering 
- Manglende klimaambitioner 
- Normbrud 
- Hovedprincipper for negative påvirkninger (PAI) 
- Provision af tjenester og forsyninger, der understøtter bosættelsers opretholdelse 
- Termisk kulproduktion 
- Usunde fødevarer 
- Våben"
70,Brønderslev,"- Arbejdstagerrettigheder
- ILO-konventionen 87
- Biodiversitet
- Kontroversielle våben
- Flyselskaber
- Fossile brændstoffer
- Fossil ekspansion
- Gambling
- Skadelige miljøpraksisser
- ILO-brud
- Israel/Palæstina
- Krydstogtskibe
- Kul-eksponering over 5%
- Normer
- Principal Adverse Impacts (PAI)
- Naturressourceudnyttelse, især vand og jord
- Termisk kuludvinding
- Usunde fødevarer"
71,Kalundborg,"- Alkohol
- Arbejdstagerrettigheder
- Biodiversitet
- Brud på grundlæggende menneskerettigheder
- Kontroversielle våben
- Dårlig regeringsførelse
- EU-sanktioner
- Eksklusion af investeringsuegnede lande
- Emerging Markets statsobligationer uden ESG-kriterier
- Flyselskaber
- Fossil brændstof relaterede aktiviteter (Fracking, Oil Sand, Transition, Ekspansion)
- Gambling
- Integreret olie og gas
- International norm og konvention overtrædelser
- Israel/Palæstina
- Klima- og miljøproblemer
- Krydstogtskibe
- Landepolitik
- Lav ESG-præstation
- Menneskerettigheder
- Militært udstyr
- Miljøforurening og sundhedssikkerhedsstandarder
- Olie og gasudvinding
- Pengespil
- Principal Adverse Impacts (PAI)
- Tobaksprodukter detailhandel
- Risikovurdering af ESG-forhold
- Sikkerhedsforhold
- Skat og EU's sortliste
- Tar sands
- Tjenester og forsyninger til bosættelser
- Naturressourcer til forretningsformål
- Termisk kuludvinding
- Usunde fødevarer
- Utilfredsstillende regerings- og forvaltningspraksis
- Våben og militær
- Uden relevante data"
72,Herning,"- Alkohol
- Arbejdstagerrettigheder
- Atomvåben
- Biodiversitet
- Brud på grundlæggende arbejdstagerrettigheder (FN Global Compact princip 3 og 4)
- Kontroversielle våben (inkl. hvidt fosfor)
- Dårlig regeringsførelse
- EU-sanktioner
- Ejendomsopkøb
- Ikke-investeringsegnede lande
- Fossile brændstoffer (kul, olie, gas)
- Gambling
- God ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettigheder
- Internationale normer og konventioner
- Klimarelaterede forhold
- Normbrud (miljø og menneskerettigheder)
- Risikovurdering (ESG-forhold)
- Usunde fødevarer
- Lav ESG-performance
- Manglende klimaambitioner
- Landepolitik 
- Principal Adverse Impacts (PAI)"
73,Tønder,"- Brud på arbejdstagerrettigheder
- Overtrædelser af ILO-konventioner
- Menneskerettighedskrænkelser
- Inddragelse i kontroversielle våben
- Investeringer i flyselskaber
- Manglende overholdelse af FN Global Compact principper
- Normviolationer relateret til menneskerettigheder
- Tidligere investeringer i tobaksprodukter
- Betydelig negativ indvirkning på menneskerettigheder
- Manglende klimaambitioner
- Engagement i usunde fødevarer
- Inddragelse i termisk kuludvinding
- Levering af tjenester til beskytning af beskedne bosættelser
- Levering af sikkerhedsudstyr og materialer til virksomheder i bosættelser"
74,Ishøj,Der er ikke noget relevant data.
75,Roskilde,"- Arbejdstagerrettigheder
- Brud på arbejdstagerrettigheder i overensstemmelse med FN Global Compact
- Biodiversitet og tilknyttede miljøpåvirkninger
- Kontroversielle våben
- Ejendomsovertagelse
- Flyselskaber
- Fossile brændstoffer
- Spil og gambling
- God ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettigheder og relaterede spørgsmål
- Overtrædelser af ILO-konventioner
- Internationale normer og konventioner
- Manglende klimaambitioner
- Usunde fødevarer
- Krænkelse af menneskerettigheder
- Udstyr og tjenester til brug i besatte områder
- Levering af sikkerhedstjenester og udstyr til virksomheder i besatte områder
- Udvinding af termisk kul
- Involvering i tobaksprodukter
- Krydstogtskibe
- Våben"
76,Egedal,"- Arbejdstagerrettigheder og brud herpå, herunder ILO-konventioner
- Krænkelse af menneskerettigheder
- Kontroversielle våben
- Overholdelse af EU-sanktioner
- Forhold til flyselskaber
- Investeringer i fossile brændstoffer og transition til bæredygtige alternativer
- Kul-eksponering over 5%
- Manglende klimaambitioner
- Omsætning fra ukonventionel olie og gas samt arktisk boring over 5%
- Normovertrædelser relateret til menneskerettigheder
- Samsyn med FN Global Compact principper
- Forhold til Israel/Palæstina 
- Ruslands invasion af Ukraine
- Usunde fødevarer og produkter relateret til tobak
- Sikkerhedsrisici ved investeringer i besatte områder
- Generel virksomhedsforvaltningsetik og internationale sanktioner
"
77,Assens,"- Arbejdstagerrettigheder og relaterede brud 
- Biodiversitet og skader på biodiversitet 
- Brud på arbejdstagerrettigheder ifølge FN Global Compact 
- Kontroversielle våben 
- Investeringer i flyselskaber 
- Fossile brændstoffer og fossil ekspansion 
- Spil og hasard 
- Skadelige miljøpraksis 
- Krænkelse af menneskerettigheder 
- Kul og eksponering for kul 
- Manglende klimaambitioner 
- Normovertrædelser vedrørende menneskerettigheder 
- Negative primære konsekvenser (PAI) 
- Investeringer i tobaksprodukter 
- Tjenester, der støtter bosættelser 
- Levering af sikkerhedstjenester til virksomheder i bosættelser 
- Udnyttelse af naturressourcer, især vand og land 
- Udtvungne fødevarer 
"
78,Holbæk,"- Alkohol
- Kontroversielle våben
- Flyselskaber
- Fossile brændstoffer (overordnet)
- Transition fra fossile brændstoffer
- Integreret olie og gas
- Klimarelaterede forhold
- Miljømæssige påvirkninger
- Etiske normer (generelt)
- Etiske normer relateret til fossile brændstoffer
- Olie
- Principielle negative påvirkninger (PAI)
- Tjenester og forsyninger relateret til opretholdelse af bosættelser, inklusiv transport"
79,Ringsted,Der er ikke noget relevant data.
80,Allerød,Der er ikke noget relevant data.
81,Vejle,"- Flyselskab
- Israel/Palestina 
- Menneskerettigheder 
- Principal Adverse Impacts (PAI)
- Levering af tjenester og forsyninger, der støtter opretholdelsen af bosættelser, herunder transport 
- Udtvinding af termisk kul 
- Usunde fødevarer"
82,Morsø,"- Arbejdstagerrettigheder
- Biodiversitetspåvirkninger
- Kontroversielle våben
- Fossile brændstoffer
- Udvidelse af fossile brændstoffer
- Spil
- Skadelige miljøpraksisser
- Brud på ILO-konventioner
- Kul (kul-eksponering over 5%)
- Usunde fødevarer
- Principielle negative påvirkninger (PAI)
- Normer"
83,Rødovre,"- Alkohol og gambling
- Arbejdstagerrettigheder og brud på ILO-konventioner
- Atomvåben og kontroversielle våben
- Finansielle operationer der understøtter ulovlige aktiviteter
- Biodiversitet og miljømæssige hensyn
- Dårlig regeringsførelse og manglende overholdelse af internationale normer
- EU-sanktioner og involvering i sanktionerede lande
- Investeringer i fossil energi, herunder kul, olie og gas
- Menneskerettighedskrænkelser og normbrud
- Skat og skattemæssige problematikker
- Low ESG performance og manglende klimaambitioner
- Landeeksklusion baseret på investeringsegnede vurderinger
- Kontroversielle aktiviteter som flyselskaber og krydstogtskibe
- Normovertrædelser associeret med miljøforurening og sundhedsstandarder
- Ingen relevant data."
84,Skive,"- Arbejdstagerrettigheder og brud på internationale normer.
- Miljømæssige konsekvenser og skader på biodiversitet.
- Involvering i kontroversielle våben, herunder hvidt fosfor.
- Overholdelse af EU-sanktioner.
- Ejendomsopkøb og deraf følgende juridiske og etiske problemstillinger.
- Investeringer i emerging markets, der ikke opfylder ESG-kriterier.
- Aktiviteter relateret til fossil energi, herunder kuludvinding og fracking.
- Problematikker vedrørende menneskerettigheder og human rights issues.
- Negative konsekvenser for klimaet og manglende klimaambitioner.
- Usunde fødevarer og gambling som eksklusionsårsager."
85,Høje Taastrup,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder
- Biodiversitet
- Kontroversielle våben
- Ejendomsopkøb
- Fossile brændstoffer (kul, olie, gas)
- Miljømæssig praksis
- Krænkelse af menneskerettigheder
- Involvering i hvidt fosfor produktion
- Manglende klimaambitioner
- Usunde fødevarer
- Utilfredsstillende ledelsespraksis
- Konflikter med internationale normer og konventioner
- Uretfærdig brug af naturressourcer
- Tjenester, der understøtter opretholdelse af bosættelser
- Levering af sikkerhedstjenester til bosættelser
- Indflydelse på sundhed og velvære gennem produkter og tjenester"
86,Aabenraa,"- Arbejdstagerrettigheder, herunder brud på ILO-konventioner og FN Global Compact principper.
- Biodiversitetsproblemer og skadelig miljøpraksis.
- Involvering med kontroversielle våben, herunder hvidt fosfor.
- Overtrædelse af EU-sanktioner.
- Ejendomsopkøb og problemer relateret til Israel/Palestina.
- Investeringer i emerging markets statsobligationer, der ikke overholder ESG-kriterier.
- Deltagelse i fossile brændstoffer, herunder kul og fossil brændstofudvidelse.
- Manglende overholdelse af internationale normer, især relateret til menneskerettigheder.
- Problemer med god ledelsespraksis og normbrud.
- Engagement i usunde fødevarer og relaterede produkter.
- Ikke-overholdelse af principper om menneskerettigheder og klimapolitik."
87,Holstebro,"- Arbejdstagerrettigheder
- Brud på arbejdstagerrettigheder (f.eks. ILO-konventionen 87)
- Biodiversitetsimplikationer
- Kontroversielle våben
- EU sanktioner
- Flyselskaber
- Fossil energi (Transition og Fuel)
- Skadelige miljøpraksisser
- Menneskerettigheder
- ILO-brud
- Internationale sanktioner og forretningsetik
- Israel/Palæstina konflikten
- Krænkelse af menneskerettigheder
- Kul (kul-eksponering > 5%)
- Manglende klimaambitioner
- Normovertrædelser
- Omsætning fra ukonventionel olie og gas, termisk kul eller arktisk boring >5%
- Principal Adverse Impacts (PAI)
- Involvering i tobaksprodukter
- Ruslands invasion af Ukraine
- Sikkerhedsforhold og risici
- Levering af tjenester og forsyninger til bosættelser
- Levering af sikkerhedstjenester til virksomheder i bosættelser
- Anvendelse af naturressourcer (vand og land) til forretningsformål
- Termisk kul
- Usunde fødevarer"
88,Slagelse,"- Arbejdstagerrettigheder
- Biodiversitet og dens konsekvenser
- Brud på grundlæggende arbejdstagerrettigheder
- Kontroversielle våben
- EU-sanktioner
- Ejendomsopkøb
- Emerging Markets statsobligationer uden ESG-overensstemmelse
- Flyselskaber
- Fossile brændstoffer
- Spil (gambling)
- God ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettighedsproblemer
- ILO-overtrædelser
- Overtrædelse af internationale normer og konventioner
- Konflikt med UN Global Compact princip nr. 10
- Krydstogtskibe
- Manglende klimaambitioner
- Normbrud og normovertrædelser
- Negative påvirkninger på principper 
- Tjenester og forsyninger til opretholdelse af bosætninger
- Udnyttelse af naturressourcer, især vand og land
- Uddvinding af termisk kul
- Usunde fødevarer
- Våben"
89,Vesthimmerland,"- Arbejdstagerrettigheder og overholdelse af ILO-konventionen 87
- Dårlig regeringsførelse og mangel på tilfredsstillende forvaltningspraksis
- Overtrædelse af EU og internationale sanktioner
- Manglende overholdelse af ESG-kriterier i emerging markets statsobligationer
- Investeringer i flyselskaber
- Udvidelse af kulbaserede energikilder og fossil brændstofudvinding
- Skadelig miljøpraksis
- Problemer med menneskerettigheder
- Investeringer relateret til Israel/Palæstina
- Klimaændringer og tilknyttede risici
- Investeringer i krydstogtskibe
- Eksponering overfor kul og termisk kul (>5%)
- Omsætning fra ukonventionel olie og gas samt arktisk boring (>5%)
- Principal Adverse Impacts (PAI)
- Sikkerhedsrisici
- Usunde fødevarer
- Tjenester og forsyninger, der understøtter vedligeholdelsen af bosættelser"
90,Glostrup,Der er ikke noget relevant data.
91,Kerteminde,"- Arbejdstagerrettigheder
- ILO-konventionen 87
- Biodiversitet
- Kontroversielle våben
- Fossil brændstof
- Fossil ekspansion
- Spil
- Skadelig miljøpraksis
- ILO-brud
- Israel/Palæstina
- Krydstogtskibe
- Kul-eksponering over 5%
- Uhensigtsmæssige fødevarer
- Normer
- Principal Adverse Impacts (PAI)
- Termisk kuludvinding"
92,Hillerød,"- Arbejdstagerrettigheder
- Brud på arbejdstagerrettigheder (inkl. ILO-konventionen 87)
- Biodiversitet
- Brud på FN Global Compact principperne 3 og 4
- Kontroversielle våben (herunder hvid fosfor)
- EU-sanktioner
- Ejendomsopkøb
- Emerging Markets statsobligationer, som ikke lever op til ESG-kriterier
- Flyselskaber
- Fossil energiproduktion (kuludvidelse og fossil brændstof)
- God ledelsespraksis
- Skadelig miljøpraksis
- Menneskerettighedsspørgsmål
- Overtrædelser af internationale normer og konventioner
- Klimagevinst og manglende klimaambitioner
- Konflikt med UN Global Compact princip nr. 10
- Landepolitik
- Anvendelse af naturressourcer, især vand og land
- Supporting services for settlements (transport og forsyninger)
- Usunde fødevarer
- Normovertrædelser relateret til miljø  
- Principal Adverse Impacts (PAI)"
93,Lemvig,"- Arbejdstagerrettigheder
- Brud på arbejdstagerrettigheder
- Biodiversitet
- Kontroversielle våben
- EU-sanktioner
- Ejendomsopkøb
- Emerging Markets statsobligationer uden ESG-kriterier
- Flyselskaber
- Fossil brændstofudvidelse
- God ledelsespraksis
- Skadelige miljøpraksisser
- Menneskerettighedsproblemer
- Internationale normer og konventioner
- Konflikter med UN Global Compact principper
- Kul eksponering over 5%
- Landepolitik
- Manglende klimaambitioner
- Normbrud relateret til miljø
- Usunde fødevarer

- Overordnede årsager:
  - Oplevelse af brud på menneskerettigheder
  - Negative miljøpåvirkninger
  - Dårlige arbejdsforhold og praksisser
  - Overtrædelser af internationale normer
  - Engagement i kontroversielle aktiviteter og våbenproduktion"
94,Struer,"- Arbejdstagerrettigheder og relaterede brud (f.eks. ILO-konventionen 87)
- Biodiversitetsproblemer
- Kontroversielle våben
- Fossil brændstof og relaterede aktiviteter (herunder fossil ekspansion og kul-eksponering > 5%)
- Misdædelige miljøpraksis
- Spil og gambling
- Israel/Palæstina konflikten
- Krydstogtskibe
- Usunde fødevarer
- Principal Adverse Impacts (PAI)"
95,Nordfyn,"- Arbejdstagerrettigheder, herunder brud på internationale normer som ILO-konventionerne.
- Overtrædelse af menneskerettigheder, herunder beskyldninger om krænkelse af menneskerettigheder og normbrud.
- Biodiversitet og negative konsekvenser for miljøet, herunder skadelige miljøpraksisser og manglende klimaambitioner.
- Investeringer i kontroversielle våben og flyselskaber.
- Overtredelse af EU-sanktioner.
- Ejendomsopkøb og involvering i krænkende virksomhedsaktiviteter.
- Engagement i emerging markets statsobligationer, der ikke lever op til ESG-kriterier.
- Deltagelse i gambling, usunde fødevarer og fossil fuel industri.
- Tilvejebringelse af sikkerhedsydelser til virksomheder i konfliktområder.
- Anvendelse af naturressourcer, især vand og land, uden hensyntagen til bæredygtighed.
- Involvering i tobaksprodukter og relaterede markeder."
96,Furesø,"- Arbejdstagerrettigheder
- Overholdelse af ILO-konventionen 87
- Atomvåben
- Kontroversielle våben, herunder hvidt fosfor
- Flyselskaber
- Fossil energi og overgang til grøn energi
- Produktion af fossile brændstoffer
- Spil og gambling
- Negativ påvirkning på klima og miljø
- Manglende klimaambitioner
- Usunde fødevarer
- Tjenester og faciliteter, der understøtter eksistensen af bosættelser, herunder transport
- Thermal kuludvinding
- Generelt fokus på principielle negative virkninger (PAI)"
97,Varde,"- Arbejdstagerrettigheder
- Brud på grundlæggende arbejdstagerrettigheder
- Biodiversitet og dens påvirkninger
- Kontroversielle våben, herunder hvidt fosfor
- Overholdelse af EU-sanktioner
- Ejendomsopkøb i konfliktområder
- Investeringer i emerging markets statsobligationer uden ESG-overholdelse
- Flyselskaber med negative miljøpåvirkninger
- Fossil energi og kul ekspansion
- Spil og gambling
- God ledelsespraksis
- Skadelig miljøpraksis
- Menneskerettighedsproblemer
- ILO-brud og brud på internationale normer
- Konflikter med UN Global Compact principper
- Krydstogtskibe og deres miljøeffekter
- Kul-eksponering over 5%
- Landepolitik uden bæredygtige tilgange
- Manglende klimaambitioner
- Anvendelse af naturlige ressourcer på problematiske måder
- Usunde fødevarer"
98,Haderslev,"- Eksklusionsårsager omfatter: 
  - Kontroversielle våben
  - Principale negative påvirkninger (PAI)
  
- Overordnede årsager for eksklusion:
  - Etik
  - Sociale ansvar
  - Miljømæssig bæredygtighed"
99,Odense,"- Arbejdstagerrettigheder
- Brud på arbejdstagerrettigheder
- Biodiversitet
- Kontroversielle våben (f.eks. hvid fosfor)
- Ejendomsopkøb
- Flyselskaber
- Fossile brændstoffer
- Gambling
- Menneskerettigheder
- ILO-brud
- Konflikt med internationale normer
- Manglende klimaambitioner
- Usunde fødevarer
- Våbenproduktion og militært udstyr
- Negative miljømæssige påvirkninger
- Tjenester og forsyninger der understøtter bosættelser"
100,Lejre,"- Overtrædelser af arbejdstagerrettigheder, herunder ILO-konventionen.
- Brud på grundlæggende arbejdstagerrettigheder i strid med FN Global Compact principper.
- Involvering i kontroversielle våben.
- Investeringer i flyselskaber.
- Krænkelse af menneskerettigheder og normer.
- Manglende engagement i klimaindsats.
- Negativ indvirkning på menneskerettigheder.
- Engagement i usunde fødevareprodukter.
- Inddragelse i forsyning af sikkerhedstjenester til virksomheder i besatte områder.
- Anvendelse af naturlige ressourcer, især vand og land, til erhvervsmæssige formål."
